doc_id,agreement_score
0,90.58823529411765
1,88.64864864864866
2,77.77777777777779
3,96.42857142857143
4,84.25925925925925
5,84.04255319148936
6,85.25641025641025
7,78.78787878787878
8,78.74251497005989
9,84.35814455231932
10,79.60877296976882
11,80.31088082901555
12,79.58333333333333
13,84.2741935483871
14,84.28246013667426
15,82.81092012133469
16,87.88927335640139
17,88.0392156862745
18,84.93408662900188
19,89.87341772151899
20,89.53488372093024
21,90.29850746268657
22,83.45864661654136
23,84.57142857142857
24,87.41007194244604
25,88.09523809523809
26,90.42553191489363
27,84.0625
28,78.05907172995781
29,82.7433628318584
30,84.25925925925925
31,90.7488986784141
32,94.9685534591195
33,88.54489164086688
34,85.6020942408377
35,92.32613908872902
36,87.18861209964413
37,87.55186721991701
38,85.23316062176166
39,91.26506024096386
40,82.30958230958231
41,84.05797101449275
42,94.21296296296296
43,86.19047619047619
44,84.89583333333334
45,88.37209302325581
46,89.25233644859813
47,81.63841807909604
48,88.37209302325581
49,80.37037037037037
50,89.34169278996865
51,94.54022988505747
52,84.29752066115702
53,74.59016393442623
54,88.7878787878788
55,90.87136929460581
56,92.37147595356551
57,85.30183727034121
58,82.46575342465754
59,81.5426997245179
60,62.06896551724138
61,94.20289855072464
62,70.27027027027027
63,90.21739130434783
64,55.61497326203209
65,80.9278350515464
66,82.14285714285714
67,87.08609271523179
68,79.31654676258992
69,84.3859649122807
70,87.53387533875339
71,81.97802197802197
72,80.17241379310344
73,94.66666666666667
74,82.44274809160305
75,86.63003663003663
76,83.2512315270936
77,86.32075471698113
78,89.59435626102292
79,95.28301886792453
80,86.8421052631579
81,94.73684210526315
82,95.45454545454545
83,89.04109589041096
84,91.33333333333333
85,91.39784946236558
86,94.94949494949495
87,98.98989898989899
88,96.55172413793103
89,91.30434782608695
90,94.44444444444444
91,81.65137614678899
92,97.59036144578313
93,88.50574712643679
94,88.57142857142857
95,97.84946236559139
96,91.2621359223301
97,92.5
98,95.45454545454545
99,96.0
100,88.03418803418803
101,86.04395604395604
102,85.5683269476373
103,73.68421052631578
104,82.06388206388206
105,89.73607038123167
106,77.68924302788844
107,88.31168831168831
108,80.19801980198021
109,84.17431192660551
110,85.13119533527697
111,91.4004914004914
112,88.8268156424581
113,88.00904977375565
114,88.62559241706161
115,97.14285714285714
116,89.65517241379311
117,83.59375
118,89.29219600725953
119,90.64327485380117
120,90.6801007556675
121,91.63987138263666
122,92.28486646884274
123,91.3738019169329
124,86.05042016806723
125,77.31629392971246
126,88.52140077821011
127,89.69804618117229
128,90.58823529411765
129,92.9530201342282
130,86.79611650485437
131,90.98712446351931
132,89.39157566302653
133,95.1219512195122
134,91.6504854368932
135,94.64285714285714
136,88.76712328767124
137,90.44117647058823
138,82.83828382838284
139,91.04991394148021
140,92.09726443768997
141,91.80722891566265
142,88.42443729903538
143,91.64969450101833
144,87.95483061480553
145,86.66666666666667
146,88.88888888888889
147,90.18264840182648
148,95.39249146757679
149,92.24137931034483
150,86.07142857142858
151,91.76029962546816
152,90.70631970260223
153,88.66396761133603
154,91.26539753639418
155,90.51937345424568
156,90.33898305084746
157,85.87699316628702
158,85.2198316183349
159,92.52728799328295
160,84.78513356562138
161,91.25964010282776
162,86.68453976764968
163,86.0
164,85.89147286821705
165,86.64353859496966
166,93.37016574585635
167,88.59223300970875
168,93.07201458523245
169,92.09083790133124
170,94.95726495726495
171,91.08061749571183
172,83.66111951588502
173,91.42236699239956
174,90.00999000999002
175,90.87799315849487
176,90.0280112044818
177,91.20403749098774
178,89.22888616891065
179,89.00077459333849
180,89.48043617703657
181,84.44632290786137
182,85.14911746804626
183,88.3578431372549
184,89.7671568627451
185,89.8876404494382
186,87.56013745704468
187,91.21370067014148
188,87.34806629834254
189,88.86027044430135
190,83.55899419729207
191,88.35341365461848
192,88.23920265780731
193,88.41364374661613
194,83.59836437982734
195,85.81616481774961
196,87.99710773680405
197,86.53846153846155
198,87.1606334841629
199,87.50780762023736
200,88.83029721955896
201,90.35040431266846
202,90.96671949286846
203,88.82653061224491
204,90.86678301337987
205,88.8307155322862
206,91.91465468837731
207,90.04576659038902
208,83.07692307692308
209,75.77639751552795
210,89.01098901098901
211,96.46017699115043
212,88.95027624309392
213,85.46255506607929
214,94.87179487179486
215,95.04504504504504
216,92.61904761904762
217,94.47983014861995
218,88.84892086330936
219,90.15384615384615
220,94.79166666666666
221,84.79809976247031
222,83.62183754993342
223,89.5104895104895
224,87.6923076923077
225,94.04761904761905
226,94.311377245509
227,88.22314049586777
228,90.6832298136646
229,88.2903981264637
230,85.87896253602305
231,84.7328244274809
232,89.29133858267716
233,88.23529411764706
234,92.89617486338798
